{28,34,35,42,53,16,16,28,21,19}
{36,24,25,48,19,63,74,63,62,74}
{53,28,50,64,85,30,90,100,88,22}
{76,31,77,43,6,7,38,56,84,43}
{84,35,90,65,99,56,29,39,24,44}
{82,82,89,39,8,9,57,87,42,4}
{13,6,96,27,33,88,2,2,34,90}
{90,4,58,99,19,35,9,4,66,78}
{99,31,10,42,66,98,12,71,84,75}
{72,44,29,74,81,77,92,4,66,73}
{41,19,64,90,57,96,81,90,76,63}
{96,65,20,32,46,10,49,23,17,95}
{45,61,8,86,82,72,96,10,11,84}
{30,82,91,66,14,55,18,16,66,36}
{65,48,79,17,37,83,76,63,55,82}
{16,81,26,33,83,81,82,71,58,5}
{42,60,17,12,22,36,79,91,48,18}
{15,1,96,83,98,91,59,98,83,6}
{37,79,36,61,7,57,28,2,88,98}
{76,94,70,81,94,69,18,70,84,27}
